Time [ms],rhoC,ViscosityA,ViscosityB,DensityB,MAF,Power [kW],CurrentA,CurrentB,CurrentC,VoltageA,VoltageB,VoltageC,SmpInjFlow,FlowA,FlowB,DiffFlow,DiffCons,Soot Dilution Eng 1,NO (350
20001,845.767323,3.579475,3.536943,825.425523,-0.32847,0.601479,1.124987,0.65096,0.634807,427.422215,444.230985,428.117342,-0.031567,1605.526861,1582.2844,23.242461,0.679439,1063.614304,200.264242
20201,850.613015,3.42874,3.39596,824.262109,-0.318007,0.521417,1.12789,0.431111,0.537564,427.121623,443.893186,427.870086,-0.030429,1605.678898,1582.662647,23.016251,0.680717,1063.314996,200.641666
20401,849.033241,3.43399,3.457594,824.820482,-0.330689,0.729537,0.973897,0.843718,1.105523,427.14333,443.892772,427.925121,-0.031879,1605.708769,1583.06919,22.639579,0.681975,1061.287902,200.641666
20601,849.975408,3.415086,3.442173,824.466024,-0.286948,0.845316,0.749397,0.499063,2.154241,427.264671,444.006697,428.156776,-0.026787,1605.441039,1583.096667,22.344371,0.683217,1065.021635,200.641666
20803,849.119936,3.467111,3.515108,825.12616,-0.185722,0.557978,0.64276,0.47427,1.12497,427.11874,443.786149,427.955785,-0.017309,1605.342507,1582.799082,22.543425,0.684469,1064.541852,200.641666
21000,848.947366,3.491686,3.534034,825.355993,-0.205021,0.560737,0.604164,0.529349,1.117821,427.08254,443.663472,427.925846,-0.018457,1605.319056,1582.631684,22.687372,0.68573,1066.578649,200.641666
21202,846.951949,3.478604,3.520184,825.115252,-0.137295,0.521495,0.663128,0.355222,1.07942,427.365563,443.969232,428.146657,-0.0122,1605.339133,1582.410751,22.928382,0.687004,1066.960474,201.004584
21401,847.668872,3.478633,3.468455,825.030467,-0.083381,0.416103,0.798353,0.311094,0.564456,427.233188,443.781491,427.972321,-0.006646,1605.503332,1582.326366,23.176966,0.688292,1073.620783,201.004584
21601,849.561814,3.459932,3.450663,824.821712,-0.070845,0.543625,0.653358,0.690309,0.831553,427.366443,443.876418,428.056631,-0.005878,1606.321098,1582.396125,23.924973,0.689621,1069.522037,201.004584
21801,853.049285,3.431587,3.421061,824.800552,-0.018756,0.851313,0.898289,0.97459,1.538601,427.237803,443.674153,427.878394,-0.000172,1606.183375,1582.545837,23.637538,0.690934,1069.3239,201.004584
22010,844.517318,3.463962,3.453143,825.07615,-0.002491,0.65558,0.994824,0.559665,1.079252,427.402548,443.825566,427.995242,0.001013,1605.801507,1582.29171,23.509797,0.692241,1060.713543,201.212793
22224,848.227368,3.500344,3.472908,825.245311,0.068699,0.405157,0.642839,0.36377,0.620496,427.424142,443.783523,427.967348,0.009024,1605.552668,1582.0316,23.521068,0.693548,1063.910434,201.212793
22442,848.884446,3.426233,3.407927,824.58415,0.146218,0.519049,0.609182,0.440287,1.03532,427.561555,443.870502,428.00896,0.01592,1605.388475,1582.007708,23.380766,0.694847,1059.715893,
22602,846.776509,3.520633,3.498726,825.322366,0.212025,0.464004,0.634035,0.461391,0.766739,427.428383,443.616705,427.776685,0.023689,1605.269494,1581.858265,23.411229,0.696147,1066.151038,201.212793
22801,849.022174,3.441215,3.428372,824.661102,0.217015,0.382775,0.588563,0.393944,0.55211,427.739627,443.985845,428.044537,0.024014,1604.962416,1581.237229,23.725186,0.697466,1060.672089,201.212793
23002,848.285574,3.460654,3.435198,825.016339,0.323493,0.501162,0.698366,0.345121,0.973341,427.563924,443.69251,427.717317,0.034377,1604.904838,1581.63808,23.266758,0.698758,1064.255959,201.212793
23202,847.607387,3.479389,3.459577,824.965632,0.258447,0.558666,0.627115,0.555102,1.05886,427.677365,443.908199,427.837633,0.027381,1604.96664,1581.88723,23.07941,0.700041,1064.719265,200.400714
23403,850.166629,3.360414,3.409106,824.740925,0.338513,0.537367,0.861511,0.524686,0.770685,427.575281,443.717974,427.637468,0.035845,1605.10605,1582.13064,22.97541,0.701317,1066.043281,200.400714
23602,846.998883,3.395097,3.43938,824.867663,0.361382,0.574818,0.980539,0.776766,0.541971,427.546957,443.727282,427.541486,0.037473,1604.993551,1581.465286,23.528265,0.702625,1068.303824,200.400714
23802,846.353897,3.410226,3.468272,825.201247,0.403902,0.569295,0.646606,0.934866,0.689222,427.581636,443.795782,427.556667,0.04193,1605.239914,1581.339881,23.900033,0.703953,1063.672586,200.400714
24001,851.421553,3.379756,3.435138,824.723599,0.317063,0.62369,0.619446,0.980725,0.888378,427.61484,443.969315,427.708665,0.03299,1605.9239,1581.583571,24.340329,0.705305,1065.587926,200.400714
24201,847.865217,3.417499,3.469713,825.072911,0.332501,0.415495,0.605422,0.527294,0.530487,427.462145,443.878029,427.550371,0.033963,1605.563166,1581.470734,24.092433,0.706644,1062.300072,199.587645
24410,849.412813,3.384882,3.417625,824.707093,0.280883,0.666439,0.943694,0.738696,0.989333,427.437538,443.918415,427.575754,0.02941,1605.907371,1581.578499,24.328871,0.707995,1070.094846,199.587645
24633,850.059848,3.40321,3.439185,824.98384,0.326725,0.682544,1.08578,0.433591,1.229241,427.425483,443.991634,427.581276,0.033642,1605.684756,1581.50194,24.182816,0.709339,1066.302091,
24802,850.289395,3.390083,3.420686,824.987674,0.284599,0.464145,0.621849,0.419307,0.822651,427.480347,444.150083,427.713929,0.029465,1606.041535,1581.595148,24.446387,0.710697,1066.075162,199.587645
25002,851.524644,3.410532,3.445285,825.029565,0.414286,0.411381,0.593108,0.325571,0.736128,427.214972,443.943125,427.388114,0.042349,1605.746638,1581.318151,24.428487,0.712055,1069.473892,199.587645
25202,846.1264,3.414164,3.429664,825.039263,0.385996,0.46807,0.797321,0.422375,0.659797,427.461393,444.320945,427.747944,0.039565,1605.437622,1581.319294,24.118328,0.713395,1065.143248,200.407658
25402,847.598779,3.430874,3.459214,825.218573,0.361225,0.466252,0.6416,0.559859,0.665461,427.368047,444.300117,427.715817,0.036614,1604.865387,1581.331865,23.533522,0.714702,1067.202886,200.407658
25602,846.88247,3.404183,3.429074,824.888187,0.268294,0.460378,0.651218,0.505663,0.689542,427.092121,443.994793,427.467345,0.027863,1604.62893,1581.202836,23.426094,0.716004,1066.333111,200.407658
25801,845.254327,3.389472,3.418576,824.912731,0.29917,0.404834,0.709822,0.296864,0.622488,427.131454,444.117303,427.580361,0.031109,1604.484552,1580.932998,23.551554,0.717313,1063.435679,200.407658
26001,850.277303,3.397729,3.434283,824.843386,0.148728,0.38773,0.665092,0.409176,0.480241,427.426534,444.317091,427.882695,0.015422,1604.328394,1581.197097,23.131298,0.718598,1059.077252,200.407658
26202,850.179336,3.421875,3.431708,824.896697,0.171543,0.507348,0.626588,0.67996,0.723547,427.055972,443.937712,427.483951,0.017767,1604.563142,1581.205745,23.357397,0.719896,1063.684766,198.994837
26402,848.224704,3.456782,3.433055,824.966022,0.092778,0.578542,0.981294,0.411651,0.935225,427.232114,444.072038,427.726751,0.010047,1604.602542,1581.337169,23.265373,0.721188,1059.216922,198.994837
26602,846.760318,3.434578,3.404711,824.645949,0.133512,0.445045,0.911177,0.387366,0.489884,427.218175,444.112464,427.722155,0.013857,1604.872741,1581.628364,23.244376,0.72248,1057.353537,198.994837
26808,847.083528,3.497421,3.481789,825.303871,0.147953,0.473173,0.67253,0.724878,0.49091,427.373453,444.297219,427.934722,0.015474,1605.141181,1581.628449,23.512732,0.723786,1061.469886,198.994837
27011,848.911909,3.454597,3.428741,824.87689,0.250713,0.56776,0.719055,0.836124,0.712119,427.254084,444.272563,427.881051,0.024809,1605.385846,1581.620764,23.765082,0.725107,1064.488277,199.732048
27219,847.819717,3.487959,3.470923,825.264462,0.211907,0.496599,0.688072,0.585887,0.715928,427.016112,443.983146,427.687763,0.021069,1605.501355,1581.577901,23.923454,0.726436,1066.460956,199.732048
27416,848.875428,3.451606,3.436444,824.772092,0.218156,0.394806,0.727766,0.363973,0.494246,427.033156,444.001017,427.803022,0.021952,1605.138326,1581.753235,23.38509,0.727735,1062.632111,199.732048
27635,850.093051,3.438844,3.439964,824.655689,0.092815,0.421497,0.765324,0.361237,0.566681,427.288351,444.162066,428.092227,0.008807,1604.86342,1581.506863,23.356556,0.729033,1061.599338,
27801,848.329434,3.452344,3.436703,824.764321,0.045162,0.409826,0.659728,0.411786,0.573117,427.103056,443.909019,427.960848,0.003556,1604.727664,1581.878887,22.848777,0.730302,1063.432438,199.732048
28001,847.89473,3.463355,3.454683,824.913613,-0.013753,0.469261,0.645586,0.401795,0.837878,427.189453,443.920236,428.022956,-0.001394,1604.961452,1582.022691,22.938761,0.731577,1065.712233,199.732048
28201,850.319933,3.475367,3.474517,825.239324,-0.076673,0.465304,0.63732,0.480732,0.747609,427.309511,444.010782,428.227053,-0.008661,1604.757233,1581.589833,23.1674,0.732864,1066.781997,197.748498
28402,847.919939,3.460428,3.471522,825.020338,-0.151645,0.452906,0.848503,0.331422,0.642913,427.040525,443.647768,427.859595,-0.015502,1604.336014,1581.756227,22.579787,0.734119,1065.070312,197.748498
28601,848.561441,3.462816,3.439511,824.773527,-0.162198,0.429388,0.72045,0.490741,0.510062,427.137153,443.689633,427.89631,-0.016516,1604.600445,1581.979608,22.620836,0.735376,1072.763349,197.748498
28802,852.103635,3.427824,3.425553,824.735061,-0.18097,0.474137,0.693118,0.731234,0.467748,427.453352,444.041385,428.125577,-0.018198,1604.677243,1581.349357,23.327886,0.736672,1071.224466,197.748498
29002,849.409534,3.436013,3.443487,824.897025,-0.216887,0.515443,0.662066,0.712729,0.686208,427.245013,443.794724,427.862844,-0.022445,1604.92495,1581.197301,23.727649,0.73799,1072.016333,197.748498
29202,849.988935,3.471196,3.448711,824.933481,-0.221049,0.411558,0.703497,0.342144,0.609052,427.16668,443.67127,427.760439,-0.022067,1604.964435,1581.33925,23.625184,0.739303,1064.926083,194.937458
29410,851.031938,3.458639,3.407019,824.432951,-0.233453,0.439602,0.618587,0.2912,0.859622,427.303416,443.787303,427.929693,-0.023462,1605.390995,1581.360699,24.030296,0.740638,1061.430412,194.937458
29633,848.717819,3.534453,3.496018,825.050664,-0.305222,0.443202,0.640453,0.399255,0.739907,427.415055,443.898995,428.000502,-0.030231,1605.271062,1581.185999,24.085063,0.741976,1059.87191,
29801,846.995398,3.583058,3.521574,825.629398,-0.347216,0.475423,0.815042,0.617641,0.470584,427.210132,443.57612,427.748774,-0.035553,1605.288018,1580.929498,24.35852,0.74333,1066.118891,194.937458
30001,852.208775,3.504571,3.46795,825.002519,-0.351863,0.531612,0.738052,0.847365,0.535421,427.4779,443.868101,427.99775,-0.035343,1605.142742,1581.067703,24.07504,0.744667,1067.001059,194.937458
30202,846.785937,3.519695,3.476941,825.151422,-0.466125,0.579197,0.610796,1.170098,0.52007,427.607745,443.904548,428.029188,-0.047654,1604.870352,1581.058006,23.812347,0.74599,1067.431316,200.493518
30401,846.898456,3.498362,3.451583,824.818411,-0.474291,0.451378,0.615646,0.707701,0.478289,427.460898,443.731523,427.807465,-0.048157,1604.772248,1581.456762,23.315486,0.747286,1065.770607,200.493518
30602,848.442568,3.524762,3.479659,825.26274,-0.519398,0.429512,0.746435,0.437531,0.539538,427.445503,443.658356,427.703925,-0.052891,1604.403146,1581.491314,22.911832,0.748559,1063.442833,200.493518
30801,847.093571,3.555872,3.482302,825.265856,-0.462753,0.661311,1.257416,0.313704,1.094665,427.638598,443.960534,427.923674,-0.046448,1604.601139,1581.469567,23.131572,0.749844,1069.133345,200.493518
31001,850.086287,3.492342,3.433982,824.614578,-0.540574,0.536367,1.144941,0.30302,0.712474,427.666332,443.917991,427.870969,-0.054382,1604.333563,1581.470005,22.863557,0.751115,1063.288584,200.493518
31202,847.258353,3.505227,3.44801,824.863582,-0.475383,0.444137,0.918601,0.33453,0.533779,427.389826,443.687342,427.591875,-0.047241,1604.444808,1581.749732,22.695076,0.752376,1064.317806,201.001768
31402,850.20516,3.553367,3.499659,825.315272,-0.518521,0.435607,0.705706,0.438368,0.604024,427.471355,443.748898,427.630465,-0.051791,1604.213656,1581.334048,22.879608,0.753647,1072.313029,201.001768
31613,848.317752,3.497825,3.455587,824.889643,-0.508177,0.393735,0.684153,0.427252,0.467169,427.549308,443.87813,427.709109,-0.050748,1604.343637,1581.452059,22.891578,0.754919,1070.486146,201.001768
31815,849.549107,3.481773,3.424707,824.569202,-0.498672,0.391531,0.686399,0.382043,0.502419,427.666344,444.03004,427.856631,-0.049857,1604.878415,1580.939138,23.939277,0.756249,1066.606679,201.001768
32025,849.024223,3.456601,3.403333,824.517757,-0.444876,0.463941,0.997833,0.37845,0.48916,427.38657,443.781557,427.58881,-0.044232,1605.326863,1581.191701,24.135162,0.75759,1063.311973,202.201668
32245,847.400795,3.525288,3.488178,825.125074,-0.479664,0.418037,0.742442,0.46379,0.469842,427.415409,443.808296,427.583412,-0.047408,1605.412101,1581.455082,23.957019,0.758921,1066.266451,
32402,848.245199,3.363128,3.461047,824.773609,-0.469108,0.547986,0.704858,0.989942,0.486274,427.64243,444.115873,427.873813,-0.047328,1605.162396,1581.217043,23.945353,0.760251,1062.312465,202.201668
32602,845.345326,3.405586,3.497416,825.390092,-0.558928,0.685231,0.883934,1.181084,0.666162,427.410996,443.85388,427.557852,-0.055962,1605.040795,1581.190768,23.850027,0.761577,1068.740138,202.201668
32801,847.783646,3.39481,3.504092,825.219025,-0.524639,0.614675,0.700524,0.806582,0.951895,427.470046,443.971186,427.668856,-0.052203,1604.741738,1581.360073,23.381665,0.762876,1062.898554,202.201668
33001,847.374561,3.356683,3.469646,824.81956,-0.6211,0.601828,0.830348,0.786861,0.789609,427.625238,444.197104,427.804227,-0.06221,1604.868624,1581.470102,23.398523,0.764176,1063.190805,202.201668
33201,850.087107,3.378089,3.471356,824.838403,-0.618685,0.459919,0.687915,0.477176,0.679975,427.375723,443.999799,427.57295,-0.061538,1604.631111,1581.347725,23.283386,0.76547,1063.389425,202.201668
33402,848.582961,3.407119,3.499659,825.137479,-0.67088,0.476256,0.608556,0.810927,0.479127,427.29648,443.9875,427.494354,-0.066868,1604.726433,1581.594313,23.132121,0.766755,1061.480125,202.201668
33602,849.413428,3.336439,3.435036,824.538486,-0.60729,0.434189,0.611217,0.615747,0.507752,427.471711,444.26276,427.780779,-0.060527,1604.795897,1582.041074,22.754823,0.768019,1064.440391,202.201668
33802,846.865459,3.382408,3.504871,825.054805,-0.64683,0.409556,0.630421,0.539845,0.468165,427.312529,444.179155,427.621125,-0.06499,1604.547299,1581.860061,22.687238,0.76928,1064.988777,202.201668
34002,848.936094,3.355443,3.466091,824.764218,-0.57539,0.44324,0.608222,0.693776,0.467011,427.260965,444.132819,427.646465,-0.056711,1604.506049,1581.480246,23.025803,0.770559,1064.029138,202.201668
34201,851.137284,3.357556,3.462913,824.845764,-0.576506,0.585068,1.155342,0.62513,0.565139,427.405602,444.356425,427.837139,-0.057622,1604.233798,1581.06093,23.172868,0.771847,1067.860274,202.201668
34401,851.210861,3.390743,3.56311,825.053206,-0.485033,0.61592,1.133668,0.709398,0.625829,427.141715,444.016426,427.566851,-0.048122,1604.433253,1581.108863,23.32439,0.773143,1071.783724,202.201668
34605,847.536063,3.401902,3.573115,825.177831,-0.484678,0.384605,0.708013,0.316689,0.521853,427.132598,444.008717,427.565772,-0.047677,1604.182413,1581.321424,22.860989,0.774413,1071.516169,202.201668
34803,851.210247,3.345678,3.514191,824.472237,-0.441462,0.515218,0.970034,0.310893,0.793907,427.382891,444.259353,427.871585,-0.042978,1604.400858,1581.207714,23.193144,0.775701,1064.146666,202.201668
35003,849.764512,3.336335,3.512949,824.656407,-0.472888,0.448485,0.751048,0.478168,0.569315,427.261831,444.159711,427.744903,-0.046619,1604.455558,1581.043111,23.412446,0.777002,1072.576154,202.201668
35217,848.360997,3.383735,3.566838,825.010967,-0.480883,0.516659,0.946178,0.657461,0.464957,427.115389,444.021385,427.622416,-0.04737,1604.462901,1580.944264,23.518638,0.778309,1068.012853,202.201668
35423,848.726632,3.321697,3.547774,824.758067,-0.522103,0.412536,0.811908,0.375987,0.468764,427.296768,444.264032,427.869384,-0.051182,1604.542084,1581.044471,23.497612,0.779615,1073.444872,202.201668
35641,847.141325,3.338858,3.570501,825.042195,-0.426468,0.395089,0.622688,0.437992,0.523257,427.180019,444.052807,427.74888,-0.041786,1604.212885,1580.804227,23.408658,0.780915,1064.735845,
35801,846.505972,3.340633,3.570938,825.11435,-0.472178,0.412155,0.739388,0.42056,0.494316,427.053585,443.956378,427.670288,-0.04612,1604.208871,1581.036702,23.172168,0.782203,1070.826497,202.201668
36002,849.309927,3.319823,3.543366,824.762291,-0.411765,0.5218,0.890868,0.71674,0.478448,427.30701,444.177063,427.947605,-0.04034,1604.268365,1581.491603,22.776762,0.783468,1065.002067,202.201668
36201,851.774481,3.323464,3.547803,825.006231,-0.399988,0.407641,0.760249,0.342172,0.535401,427.331035,444.206465,428.055426,-0.03883,1604.219202,1581.727495,22.491707,0.784718,1069.61966,202.201668
36402,851.524234,3.309027,3.517515,824.559196,-0.352414,0.410161,0.675469,0.49197,0.475876,427.073831,443.868283,427.786895,-0.03394,1604.058379,1581.176356,22.882023,0.785989,1062.865295,202.201668
36601,845.144472,3.34116,3.581152,825.141293,-0.374101,0.546048,0.649442,0.657881,0.878927,427.226744,444.033559,428.025517,-0.035966,1604.172788,1580.931292,23.241495,0.787281,1067.265971,202.201668
36801,846.307373,3.308379,3.547444,824.776521,-0.274253,0.638756,0.672831,0.662896,1.225514,427.243714,443.992531,428.04424,-0.026189,1604.486221,1580.657902,23.828319,0.788605,1063.435747,202.201668
37001,849.572266,3.345102,3.562309,824.89684,-0.25111,0.699978,1.066197,0.594036,1.154257,426.907721,443.585091,427.742058,-0.023214,1604.658923,1580.395136,24.263787,0.789953,1068.300917,202.201668
37201,849.451959,3.336513,3.585066,825.0383,-0.222506,0.618608,1.146063,0.6068,0.729736,427.286445,443.93252,428.078282,-0.021289,1604.624547,1580.560495,24.064052,0.79129,1060.747321,202.201668
37401,848.426377,3.4232,3.60131,824.750132,-0.162421,0.523312,0.76638,0.72176,0.603582,427.347742,443.986192,428.178049,-0.014646,1604.454532,1581.205863,23.248669,0.792582,1063.572932,202.201668
37601,848.609399,3.451825,3.622239,825.015232,-0.125927,0.528779,0.747146,0.411364,0.967564,427.229439,443.81074,427.983523,-0.011672,1604.462935,1581.697132,22.765803,0.793847,1059.77099,202.201668
37802,844.234483,3.484102,3.691216,825.437683,-0.103913,0.490728,0.818467,0.432088,0.721905,427.041447,443.552596,427.745832,-0.00887,1604.572607,1581.34946,23.223147,0.795137,1068.355734,201.002448
38002,848.503234,3.429853,3.605868,824.769467,-0.102995,0.420475,0.871135,0.307489,0.51295,427.329942,443.840108,428.005836,-0.008655,1604.841604,1581.198595,23.64301,0.796451,1062.830999,201.002448
38221,849.25336,3.45795,3.657967,825.121424,-0.005457,0.362134,0.599984,0.331305,0.522536,427.440739,443.909783,428.117766,0.000799,1604.602147,1581.187562,23.414586,0.797752,1065.892671,
38402,851.313338,3.408117,3.547973,824.371028,0.028293,0.536064,0.584668,0.501451,1.066244,427.270061,443.670799,427.856473,0.00464,1604.293136,1581.441704,22.851432,0.799021,1058.150186,201.002448
38602,851.172535,3.419071,3.611283,824.888864,0.05544,0.667543,0.872916,0.691982,1.112127,427.446832,443.806961,427.996862,0.007278,1604.233573,1581.469871,22.763702,0.800286,1068.024804,201.002448
38802,844.993422,3.422853,3.614161,824.811768,0.076301,0.725179,1.140533,0.781409,0.985055,427.515098,443.893766,427.985467,0.009002,1603.795829,1581.709165,22.086665,0.801513,1062.194113,193.978167
39002,847.413502,3.424837,3.612117,824.868585,0.080396,0.494414,0.821554,0.631921,0.526088,427.280947,443.611596,427.663509,0.00951,1603.792343,1581.603664,22.188679,0.802746,1070.812497,193.978167
39202,847.142964,3.450786,3.608765,825.097188,0.019931,0.404056,0.694361,0.438619,0.486984,427.447977,443.85916,427.851276,0.003302,1604.288677,1581.439297,22.84938,0.804016,1062.05147,193.819646
39402,850.2482,3.434988,3.445914,824.971291,0.067664,0.466412,0.81653,0.340753,0.718394,427.576921,443.974735,427.946764,0.008047,1604.625409,1581.343435,23.281974,0.805309,1066.070217,193.819646
39603,849.435768,3.387096,3.384608,824.639634,0.061599,0.445031,0.701883,0.346849,0.740483,427.492537,443.88196,427.837462,0.007517,1604.477912,1581.457603,23.020309,0.806588,1061.654157,193.819646
39802,848.558161,3.38603,3.406662,824.736825,0.142609,0.425235,0.68341,0.456669,0.565428,427.407057,443.69644,427.663072,0.015467,1604.857002,1581.448244,23.408758,0.807889,1065.837358,193.819646
